season,season_end_year,player_name,team,games_played,minutes_played,pts,trb,ast,stl,blk,fg_pct,fg3_pct,ft_pct,player_key,last_updated_utc
2025-26,2026,AJ Green,MIL,74,28.7,9.8,2.6,1.9,0.5,0.1,0.416,0.409,0.842,aj_green,2026-04-07T17:04:13Z
2025-26,2026,Aaron Gordon,DEN,35,28.1,16.5,5.9,2.6,0.6,0.3,0.5,0.394,0.764,aaron_gordon,2026-04-07T17:04:13Z
2025-26,2026,Aaron Nesmith,IND,45,29.7,13.8,4.2,1.9,0.6,0.5,0.414,0.379,0.829,aaron_nesmith,2026-04-07T17:04:13Z
2025-26,2026,Aaron Wiggins,OKC,61,21.9,9.6,3.1,1.7,0.9,0.4,0.431,0.354,0.743,aaron_wiggins,2026-04-07T17:04:13Z
2025-26,2026,Ace Bailey,UTA,70,27.6,13.6,4.1,1.8,0.8,0.7,0.444,0.348,0.767,ace_bailey,2026-04-07T17:04:13Z
2025-26,2026,Adama Bal,MEM,6,27.3,8.8,2.8,1.7,1.0,0.0,0.413,0.433,0.667,adama_bal,2026-04-07T17:04:13Z
2025-26,2026,Adem Bona,PHI,68,17.4,4.9,4.4,0.5,0.4,1.2,0.601,0.333,0.706,adem_bona,2026-04-07T17:04:13Z
2025-26,2026,Ajay Mitchell,OKC,55,25.9,13.8,3.4,3.6,1.3,0.3,0.487,0.349,0.873,ajay_mitchell,2026-04-07T17:04:13Z
2025-26,2026,Al Horford,GSW,43,21.7,8.3,5.0,2.6,0.7,1.2,0.424,0.36,0.846,al_horford,2026-04-07T17:04:13Z
2025-26,2026,Alex Caruso,OKC,54,18.5,6.3,2.8,2.0,1.3,0.3,0.422,0.29,0.804,alex_caruso,2026-04-07T17:04:13Z
2025-26,2026,Alex Sarr,WAS,48,27.2,16.3,7.4,2.7,0.8,2.0,0.482,0.333,0.692,alex_sarr,2026-04-07T17:04:13Z
2025-26,2026,Alperen Sengun,HOU,69,33.4,20.6,8.8,6.2,1.2,1.1,0.522,0.31,0.688,alperen_sengun,2026-04-07T17:04:13Z
2025-26,2026,Amen Thompson,HOU,76,37.3,17.9,7.8,5.3,1.5,0.6,0.527,0.223,0.777,amen_thompson,2026-04-07T17:04:13Z
2025-26,2026,Andersson Garcia,UTA,5,33.8,5.2,8.4,2.8,1.6,0.8,0.31,0.077,0.778,andersson_garcia,2026-04-07T17:04:13Z
2025-26,2026,Andre Drummond,PHI,60,19.2,6.3,8.2,1.2,0.6,0.8,0.47,0.349,0.641,andre_drummond,2026-04-07T17:04:13Z
2025-26,2026,Andrew Nembhard,IND,57,31.3,16.9,2.8,7.7,0.9,0.1,0.442,0.361,0.825,andrew_nembhard,2026-04-07T17:04:13Z
2025-26,2026,Andrew Wiggins,MIA,64,30.6,15.6,5.0,2.7,1.2,1.1,0.478,0.417,0.787,andrew_wiggins,2026-04-07T17:04:13Z
2025-26,2026,Anfernee Simons,CHI,55,24.9,14.3,2.5,2.4,0.5,0.1,0.44,0.385,0.896,anfernee_simons,2026-04-07T17:04:13Z
2025-26,2026,Anthony Black,ORL,61,30.4,15.3,3.8,3.8,1.4,0.7,0.45,0.338,0.73,anthony_black,2026-04-07T17:04:13Z
2025-26,2026,Anthony Davis,WAS,20,31.3,20.4,11.1,2.8,1.1,1.7,0.506,0.27,0.728,anthony_davis,2026-04-07T17:04:13Z
2025-26,2026,Anthony Edwards,MIN,60,35.2,28.9,5.0,3.7,1.4,0.8,0.489,0.398,0.796,anthony_edwards,2026-04-07T17:04:13Z
2025-26,2026,Anthony Gill,WAS,51,16.3,5.4,2.8,1.3,0.5,0.4,0.623,0.317,0.774,anthony_gill,2026-04-07T17:04:13Z
2025-26,2026,Ausar Thompson,DET,70,26.1,9.9,5.8,3.1,2.0,0.9,0.521,0.261,0.565,ausar_thompson,2026-04-07T17:04:13Z
2025-26,2026,Austin Reaves,LAL,51,34.5,23.3,4.7,5.5,1.1,0.4,0.49,0.36,0.871,austin_reaves,2026-04-07T17:04:13Z
2025-26,2026,Ayo Dosunmu,MIN,67,27.2,14.7,3.5,3.6,0.8,0.3,0.514,0.443,0.871,ayo_dosunmu,2026-04-07T17:04:13Z
2025-26,2026,Bam Adebayo,MIA,69,32.2,20.2,10.0,3.0,1.2,0.7,0.439,0.317,0.778,bam_adebayo,2026-04-07T17:04:13Z
