season,season_end_year,team_id,team_city,team_name,wins,losses,win_pct,conference,conf_rank,last_updated_utc
2025-26,2026,1610612760,Oklahoma City,Thunder,45,15,0.75,West,1,2026-02-26T17:50:03Z
2025-26,2026,1610612765,Detroit,Pistons,43,14,0.754,East,1,2026-02-26T17:50:03Z
2025-26,2026,1610612738,Boston,Celtics,38,20,0.655,East,2,2026-02-26T17:50:03Z
2025-26,2026,1610612759,San Antonio,Spurs,42,16,0.724,West,2,2026-02-26T17:50:03Z
2025-26,2026,1610612752,New York,Knicks,37,22,0.627,East,3,2026-02-26T17:50:03Z
2025-26,2026,1610612745,Houston,Rockets,36,21,0.632,West,3,2026-02-26T17:50:03Z
2025-26,2026,1610612743,Denver,Nuggets,37,22,0.627,West,4,2026-02-26T17:50:03Z
2025-26,2026,1610612739,Cleveland,Cavaliers,37,23,0.617,East,4,2026-02-26T17:50:03Z
2025-26,2026,1610612750,Minnesota,Timberwolves,36,23,0.61,West,5,2026-02-26T17:50:03Z
2025-26,2026,1610612761,Toronto,Raptors,34,25,0.576,East,5,2026-02-26T17:50:03Z
2025-26,2026,1610612747,Los Angeles,Lakers,34,23,0.596,West,6,2026-02-26T17:50:03Z
2025-26,2026,1610612755,Philadelphia,76ers,32,26,0.552,East,6,2026-02-26T17:50:03Z
2025-26,2026,1610612753,Orlando,Magic,31,26,0.544,East,7,2026-02-26T17:50:03Z
2025-26,2026,1610612756,Phoenix,Suns,33,26,0.559,West,7,2026-02-26T17:50:03Z
2025-26,2026,1610612748,Miami,Heat,31,28,0.525,East,8,2026-02-26T17:50:03Z
2025-26,2026,1610612744,Golden State,Warriors,31,28,0.525,West,8,2026-02-26T17:50:03Z
2025-26,2026,1610612737,Atlanta,Hawks,29,31,0.483,East,9,2026-02-26T17:50:03Z
2025-26,2026,1610612757,Portland,Trail Blazers,28,31,0.475,West,9,2026-02-26T17:50:03Z
2025-26,2026,1610612766,Charlotte,Hornets,28,31,0.475,East,10,2026-02-26T17:50:03Z
2025-26,2026,1610612746,LA,Clippers,27,30,0.474,West,10,2026-02-26T17:50:03Z
2025-26,2026,1610612763,Memphis,Grizzlies,21,36,0.368,West,11,2026-02-26T17:50:03Z
2025-26,2026,1610612749,Milwaukee,Bucks,26,31,0.456,East,11,2026-02-26T17:50:03Z
2025-26,2026,1610612742,Dallas,Mavericks,21,36,0.368,West,12,2026-02-26T17:50:03Z
2025-26,2026,1610612741,Chicago,Bulls,24,35,0.407,East,12,2026-02-26T17:50:03Z
2025-26,2026,1610612762,Utah,Jazz,18,40,0.31,West,13,2026-02-26T17:50:03Z
2025-26,2026,1610612764,Washington,Wizards,16,41,0.281,East,13,2026-02-26T17:50:03Z
2025-26,2026,1610612751,Brooklyn,Nets,15,42,0.263,East,14,2026-02-26T17:50:03Z
2025-26,2026,1610612740,New Orleans,Pelicans,17,42,0.288,West,14,2026-02-26T17:50:03Z
2025-26,2026,1610612758,Sacramento,Kings,13,47,0.217,West,15,2026-02-26T17:50:03Z
2025-26,2026,1610612754,Indiana,Pacers,15,44,0.254,East,15,2026-02-26T17:50:03Z
