season,season_end_year,player_name,team,games_played,minutes_played,pts,trb,ast,stl,blk,fg_pct,fg3_pct,ft_pct,player_key,last_updated_utc,team_name_lookup,team_win_pct,team_conf_rank,team_conference,ridge_pred_vote_share,mvp_score,mvp_rank,mvp_tier
2025-26,2026,Nikola Jokić,DEN,32,34.6,29.6,12.2,11.0,1.4,0.8,0.605,0.435,0.853,nikola_jokic,2026-01-24T02:19:06Z,Nuggets,0.667,3,West,0.5869921083973962,0.9344746162927982,1,Top 3
2025-26,2026,Shai Gilgeous-Alexander,OKC,43,33.3,32.0,4.4,6.3,1.3,0.8,0.555,0.399,0.891,shai_gilgeousalexander,2026-01-24T02:19:06Z,Thunder,0.822,1,West,0.331617809924574,0.8667363964446614,2,Top 3
2025-26,2026,Cade Cunningham,DET,36,35.5,25.7,5.9,9.8,1.4,0.8,0.452,0.327,0.824,cade_cunningham,2026-01-24T02:19:06Z,Pistons,0.762,1,East,0.218040358175916,0.787632837609361,3,Top 3
2025-26,2026,Luka Dončić,LAL,35,36.4,33.4,7.8,8.7,1.6,0.5,0.465,0.333,0.785,luka_doncic,2026-01-24T02:19:06Z,Lakers,0.605,6,West,0.38437384164720784,0.7868165910036053,4,Top 5
2025-26,2026,Victor Wembanyama,SAS,31,28.8,24.5,10.9,2.9,0.8,2.6,0.51,0.389,0.846,victor_wembanyama,2026-01-24T02:19:06Z,Spurs,0.689,2,West,0.23004084148781753,0.7626200380237208,5,Top 5
2025-26,2026,Jaylen Brown,BOS,40,34.1,29.8,6.7,4.8,1.0,0.4,0.488,0.364,0.791,jaylen_brown,2026-01-24T02:19:06Z,Celtics,0.628,2,East,0.1749818545582245,0.7137229654587777,6,6-10
2025-26,2026,Tyrese Maxey,PHI,41,39.5,30.1,4.3,6.8,2.1,1.0,0.471,0.391,0.88,tyrese_maxey,2026-01-24T02:19:06Z,76ers,0.558,5,East,0.23294105623879555,0.699399119084564,7,6-10
2025-26,2026,Jamal Murray,DEN,41,35.4,26.0,4.3,7.3,1.0,0.3,0.49,0.448,0.892,jamal_murray,2026-01-24T02:19:06Z,Nuggets,0.667,3,West,0.12881256066856198,0.6953798523684724,8,6-10
2025-26,2026,Jalen Duren,DET,35,28.4,17.8,10.9,1.8,0.9,0.9,0.63,0.0,0.717,jalen_duren,2026-01-24T02:19:06Z,Pistons,0.762,1,East,0.027038689324238942,0.687961215098896,9,6-10
2025-26,2026,Chet Holmgren,OKC,39,29.1,17.8,8.4,1.6,0.6,2.0,0.572,0.38,0.765,chet_holmgren,2026-01-24T02:19:06Z,Thunder,0.822,1,West,-0.026109572354566103,0.6800612285126394,10,6-10
2025-26,2026,Alperen Sengun,HOU,35,34.3,21.3,9.2,6.4,1.5,1.0,0.507,0.303,0.693,alperen_sengun,2026-01-24T02:19:06Z,Rockets,0.619,4,West,0.10283311178288454,0.6588122046530647,11,Outside
2025-26,2026,Donovan Mitchell,CLE,41,34.1,28.9,4.8,5.7,1.5,0.2,0.483,0.382,0.84,donovan_mitchell,2026-01-24T02:19:06Z,Cavaliers,0.556,6,East,0.16803757047854068,0.6577261038175931,12,Outside
2025-26,2026,Giannis Antetokounmpo,MIL,29,29.1,28.2,9.9,5.6,0.9,0.8,0.647,0.395,0.645,giannis_antetokounmpo,2026-01-24T02:19:06Z,Bucks,0.419,11,East,0.30807453087744624,0.6497989446313938,13,Outside
2025-26,2026,Kevin Durant,HOU,40,36.8,26.1,5.4,4.6,0.7,1.0,0.514,0.404,0.887,kevin_durant,2026-01-24T02:19:06Z,Rockets,0.619,4,West,0.08491316535346223,0.6494609243911724,14,Outside
2025-26,2026,Scottie Barnes,TOR,45,34.6,19.8,8.2,5.6,1.4,1.3,0.504,0.319,0.828,scottie_barnes,2026-01-24T02:19:06Z,Raptors,0.587,4,East,0.09606145778481241,0.6446999967388121,15,Outside
2025-26,2026,Karl-Anthony Towns,NYK,41,32.0,20.8,11.5,3.0,0.9,0.7,0.469,0.363,0.86,karlanthony_towns,2026-01-24T02:19:06Z,Knicks,0.591,3,East,0.0743491377803219,0.6418348891105273,16,Outside
2025-26,2026,Jalen Brunson,NYK,39,34.4,27.9,3.2,6.1,0.7,0.1,0.478,0.379,0.852,jalen_brunson,2026-01-24T02:19:06Z,Knicks,0.591,3,East,0.07049846515675277,0.6398254679863286,17,Outside
2025-26,2026,Anthony Edwards,MIN,36,35.2,29.6,5.1,3.7,1.3,0.8,0.495,0.406,0.795,anthony_edwards,2026-01-24T02:19:06Z,Timberwolves,0.6,7,West,0.11118558393376451,0.6354612654541641,18,Outside
2025-26,2026,Austin Reaves,LAL,23,35.3,26.6,5.2,6.3,1.0,0.2,0.507,0.365,0.873,austin_reaves,2026-01-24T02:19:06Z,Lakers,0.605,6,West,0.0833883321902334,0.6297513974894486,19,Outside
2025-26,2026,Isaiah Hartenstein,OKC,24,26.9,11.2,10.4,3.0,1.1,0.8,0.644,0.0,0.649,isaiah_hartenstein,2026-01-24T02:19:06Z,Thunder,0.822,1,West,-0.1235614128992209,0.6292073112557192,20,Outside
2025-26,2026,Jalen Williams,OKC,24,29.6,16.8,4.8,5.6,1.3,0.4,0.47,0.3,0.833,jalen_williams,2026-01-24T02:19:06Z,Thunder,0.822,1,West,-0.12470948331752227,0.6286082063262369,21,Outside
2025-26,2026,Jalen Johnson,ATL,42,35.5,23.2,10.3,8.0,1.2,0.5,0.511,0.358,0.788,jalen_johnson,2026-01-24T02:19:06Z,Hawks,0.457,10,East,0.22959775373423272,0.6285517466883721,22,Outside
2025-26,2026,Devin Booker,PHX,40,34.1,25.3,4.0,6.3,0.9,0.3,0.453,0.302,0.863,devin_booker,2026-01-24T02:19:06Z,Suns,0.614,5,West,0.05055788464003846,0.6227373388140256,23,Outside
2025-26,2026,De'Aaron Fox,SAS,36,32.5,20.5,4.2,5.9,1.3,0.3,0.479,0.355,0.797,deaaron_fox,2026-01-24T02:19:06Z,Spurs,0.689,2,West,-0.050710957447929396,0.6161135310864018,24,Outside
2025-26,2026,Deni Avdija,POR,42,34.9,26.0,7.1,6.9,0.8,0.6,0.471,0.356,0.807,deni_avdija,2026-01-24T02:19:06Z,Trail Blazers,0.511,9,West,0.1561111057787396,0.6151978359747728,25,Outside
2025-26,2026,Julius Randle,MIN,45,33.6,22.6,7.0,5.4,1.1,0.2,0.494,0.34,0.811,julius_randle,2026-01-24T02:19:06Z,Timberwolves,0.6,7,West,0.06426930391158733,0.6109786429719646,26,Outside
2025-26,2026,Ajay Mitchell,OKC,43,26.2,14.1,3.5,3.7,1.4,0.3,0.487,0.35,0.87,ajay_mitchell,2026-01-24T02:19:06Z,Thunder,0.822,1,West,-0.16781629324253267,0.6061135039903507,27,Outside
2025-26,2026,LeBron James,LAL,26,33.3,22.5,6.0,6.9,1.1,0.7,0.508,0.331,0.742,lebron_james,2026-01-24T02:19:06Z,Lakers,0.605,6,West,0.03761072534613434,0.6058629761147604,28,Outside
